Brand,product,Price,Rating Score,Rating Count
Apple,"Macbook Air 13.6"" M2 8c Cpu 10c Gpu 8 Gb 512 Gb Ssd Uzay Grisi",36.849 TL,4.7,62
Dell,"Vostro 3520 Intel Core i5-1235U 16GB 512 GB SSD 120Hz 15.6"" Windows 11 Pro N1605PVNB3520T37",16.349 TL,4.8,25
Apple,"Macbook Air M3 Çip 8gb 256gb Ssd Macos 13"" Taşınabilir Bilgisayar Uzay Grisi Mrxn3tu/a",41.399 TL,5.0,18
Onda,"Tablet Pc Olıver Intel N5030 3.10 Ghz 8gb Ram 128gb Ssd 10.1"" Fhd Ips Dokunmatik Wın11 Pro",5.149 TL,3.4,10
CASPER,"Nirvana X600.1245-BV00X-G-F Intel Core i5-12450H 16GB RAM 500GB NVMe SSD Freedos 15.6"" Laptop",15.399 TL,5.0,2
HP,Victus 15 Fa0010nt I5 12450h 16gb Ram 512gb Ssd 3050 15.6 Inç Fhd 144hz Freedos Mavi 80d32ea,27.999 TL,4.5,19
MSI,Cyborg 15 A13vf-895xtr I5 16gb Ddr5 1tb Ssd Rtx4060 8gb 15.6 Inç 144hz Fhd Freedos Gaming Laptop,47.699 TL,4.7,21
ASUS,"Tuf Gamıng F15 Fx506hc-hn375 Intel I5-11400h 8gb Ddr4 512gb Ssd 4gb Rtx3050 15.6"" Fhd 144hz Dos",31.574 TL,4.5,124
ACER,"Aspire 3 A315-44p Ryzen 7 5700u 16 Gb 512 Gb Ssd Freedos 15.6"" Fhd 60 Hz Taşınabilir Bilgisayar",15.399 TL,4.8,28
MSI,MODERN 15 B12MO-624XTR Intel Core i5-1235U 8GB DDR4 512GB SSD UMA 15.6 FHD FreeDos Notebook,15.649 TL,4.2,11
ASUS,"E510MA-EJ592W01 N4020 Uyumlu 4GB 128eMMC+128SSD 15.6"" FHD W11H Dizüstü Bilgisayar-CNT002",8.699 TL,,
Apple,"Macbook Pro M4 Max 36gb 1tb Ssd Macos 16"" Taşınabilir Bilgisayar Uzay Siyahı Mx303tu/a",157.949 TL,,
CASPER,"Nirvana C550.1235-DF00X-G-F Intel Core i5-1235U 32GB RAM 1TB NVMe SSD FREEDOS 15.6"" LAPTOP",18.499 TL,4.0,75
